learning_rate,batch_size,train_freq,gradient_steps,ent_coef,learning_starts,buffer_size,policy_kwargs,reward
0.0001,64,1,4,0.1,20000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",19.116741943064845
0.0001,64,1,4,0.1,20000,500000,"{'net_arch': [128, 128], 'use_sde': False}",76.4367838692665
0.0001,64,1,4,0.1,20000,500000,"{'net_arch': [256, 256], 'use_sde': False}",101.84442570507527
0.0001,64,1,4,0.1,20000,500000,"{'net_arch': [400, 300], 'use_sde': False}",18.329836785793304
0.0001,64,1,4,0.01,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",156.20600959539414
0.0001,64,1,4,0.01,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",171.93896077394484
0.0001,64,1,4,0.01,5000,100000,"{'net_arch': [400, 300], 'use_sde': False}",503.5774540734291
0.0001,64,1,4,0.01,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",209.57654239654542
0.0001,64,1,4,0.01,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",71.59600461244582
0.0001,64,1,4,0.01,5000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",74.92939188122749
0.0001,64,1,4,0.01,5000,500000,"{'net_arch': [128, 128], 'use_sde': False}",148.51906626820565
0.0001,64,1,4,0.01,5000,500000,"{'net_arch': [256, 256], 'use_sde': False}",228.63288227915763
0.0001,64,1,4,0.01,5000,500000,"{'net_arch': [400, 300], 'use_sde': False}",118.07102887479122
0.0001,64,1,4,0.01,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",23.245183295011522
0.0001,64,1,4,0.01,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",23.745787605128715
0.0001,64,1,4,0.01,10000,100000,"{'net_arch': [400, 300], 'use_sde': False}",12.180052123069764
0.0001,64,1,4,0.01,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",28.123753196001054
0.0001,64,1,4,0.01,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",42.05320706302649
0.0001,64,1,4,0.01,10000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",20.120887346863746
0.0001,64,1,4,0.01,10000,500000,"{'net_arch': [128, 128], 'use_sde': False}",15.402547813653946
0.0001,64,1,4,0.01,10000,500000,"{'net_arch': [256, 256], 'use_sde': False}",174.66201536893846
